attendance_percentage,assignment_marks,previous_sem_sgpa,cgpa,backlogs,ia1,ia2,avg_ia,pass_probability,risk_level
78.7,4.3,8.13,8.3,1,34.8,41.0,37.9,77.66,Low
52.8,4.3,3.71,3.88,4,23.1,29.2,26.2,50.68,High
90.8,8.0,7.82,7.99,0,35.5,41.7,38.6,82.03,Low
88.8,8.7,9.15,9.32,1,45.0,50.0,47.5,96.18,Low
47.0,2.5,3.54,3.72,5,19.1,25.2,22.1,37.85,High
55.1,2.0,5.91,6.08,0,11.8,18.0,14.9,53.45,High
85.4,5.9,5.6,5.77,0,23.5,29.7,26.6,78.43,Low
66.2,5.2,4.74,4.92,0,34.3,40.5,37.4,73.0,Medium
76.8,5.7,7.46,7.64,1,28.2,34.3,31.2,67.81,Medium
50.4,6.7,6.13,6.3,2,28.9,35.0,32.0,63.61,Medium
76.9,6.6,8.12,8.3,0,46.9,50.0,48.5,88.95,Low
98.3,8.5,8.48,8.66,0,31.7,37.9,34.8,92.41,Low
71.3,7.1,7.58,7.76,0,24.7,30.9,27.8,82.51,Low
95.2,10.0,7.98,8.16,0,50.0,50.0,50.0,99.5,Low
77.2,7.4,6.96,7.13,3,40.4,46.6,43.5,75.47,Low
47.5,6.4,5.51,5.69,1,23.8,29.9,26.9,68.49,Medium
74.4,7.2,8.24,8.42,0,30.6,36.8,33.7,85.55,Low
66.1,5.8,4.12,4.3,1,22.3,28.5,25.4,57.46,Medium
88.5,6.2,8.12,8.29,0,33.1,39.3,36.2,82.89,Low
50.0,3.0,6.5,6.67,0,39.8,45.9,42.8,72.43,Medium
62.7,7.0,6.86,7.04,0,27.0,33.2,30.1,70.37,Medium
74.2,6.2,5.63,5.81,2,35.9,42.0,39.0,67.18,Medium
86.6,9.5,8.39,8.56,1,41.6,47.8,44.7,88.85,Low
47.4,5.8,7.66,7.84,2,25.4,31.6,28.5,66.82,Medium
79.6,8.2,5.59,5.76,0,27.4,33.6,30.5,73.44,Medium
68.8,5.6,5.94,6.11,1,12.6,18.8,15.7,57.94,Medium
76.3,8.3,6.27,6.45,1,37.7,43.9,40.8,80.92,Low
70.5,8.3,6.78,6.95,2,35.9,42.1,39.0,72.85,Medium
85.8,9.9,7.97,8.14,0,43.3,49.5,46.4,98.43,Low
69.9,7.1,7.82,8.0,0,24.5,30.6,27.5,78.67,Low
100.0,9.5,10.0,10.0,0,50.0,50.0,50.0,99.5,Low
66.5,4.0,6.6,6.78,1,36.3,42.5,39.4,72.32,Medium
61.7,8.1,7.81,7.98,0,38.4,44.6,41.5,85.88,Low
55.6,6.0,4.74,4.92,3,26.7,32.9,29.8,57.32,Medium
76.7,8.5,6.39,6.57,0,46.3,50.0,48.2,83.18,Low
97.6,10.0,7.77,7.95,0,33.3,39.5,36.4,94.24,Low
57.4,7.1,5.97,6.15,2,38.0,44.2,41.1,76.16,Low
37.5,3.5,4.49,4.67,1,21.5,27.6,24.6,49.3,High
